AL, 91, 2014090718, 03, NVGM, 000,  88N,  167W,  17, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 006,  99N,  190W,  14, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 012, 107N,  211W,  18, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 018, 107N,  221W,  17, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 024, 105N,  234W,  15, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 030, 108N,  244W,  13, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 036, 109N,  255W,  14, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 042, 114N,  263W,  18, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 048, 116N,  270W,  18, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 054, 122N,  277W,  24, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 060, 127N,  285W,  24, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 066, 130N,  295W,  23, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 072, 133N,  302W,  26, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 078, 139N,  314W,  29, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 084, 142N,  327W,  28, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 090, 142N,  339W,  27, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 096, 145N,  348W,  31, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 102, 146N,  358W,  31, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 108, 147N,  368W,  28, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 114, 149N,  376W,  29, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 120, 152N,  384W,  29, 1006, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 126, 155N,  395W,  30, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 132, 156N,  406W,  30, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 138, 159N,  414W,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 144, 162N,  421W,  29, 1007, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 150, 166N,  425W,  32, 1008, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 156, 172N,  430W,  34, 1007, XX,  34, NEQ, 0000, 0072, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 162, 177N,  434W,  37, 1008, XX,  34, NEQ, 0107, 0000, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 168, 182N,  436W,  37, 1007, XX,  34, NEQ, 0102, 0118, 0000, 0000
AL, 91, 2014090718, 03, NVGM, 174, 187N,  434W,  41, 1007, XX,  34, NEQ, 0078, 0113, 0000, 0126
AL, 91, 2014090718, 03, NVGM, 180, 194N,  432W,  41, 1006, XX,  34, NEQ, 0112, 0100, 0000, 0082
AL, 91, 2014090800, 03, GFDN,   0,  97N,  187W,  22, 1010
AL, 91, 2014090800, 03, GFDN,   6,  98N,  191W,  23, 1008
AL, 91, 2014090800, 03, GFDN,  12, 106N,  197W,  27, 1009
AL, 91, 2014090800, 03, GFDN,  18, 117N,  204W,  24, 1008
AL, 91, 2014090800, 03, GFDN,  24, 126N,  218W,  22, 1010
AL, 91, 2014090800, 03, GFDN,  30, 137N,  228W,  30, 1006
AL, 91, 2014090800, 03, GFDN,  36, 145N,  246W,  43, 1003
AL, 91, 2014090800, 03, GFDN,  42, 150N,  260W,  35, 1003
AL, 91, 2014090800, 03, GFDN,  48, 153N,  273W,  36, 1003
AL, 91, 2014090800, 03, GFDN,  54, 158N,  287W,  44, 1000
AL, 91, 2014090800, 03, GFDN,  60, 162N,  301W,  43,  998
AL, 91, 2014090800, 03, GFDN,  66, 163N,  314W,  45,  998
AL, 91, 2014090800, 03, GFDN,  72, 164N,  325W,  47,  998
AL, 91, 2014090800, 03, GFDN,  78, 168N,  336W,  47,  994
AL, 91, 2014090800, 03, GFDN,  84, 171N,  346W,  47,  996
AL, 91, 2014090800, 03, GFDN,  90, 176N,  356W,  48,  996
