AL, 93, 2014073012, 03, GFDN,  90, 195N,  638W,  84,  981
AL, 93, 2014073012, 03, GFDN,  96, 204N,  652W,  80,  981
AL, 93, 2014073012, 03, GFDN, 102, 212N,  665W,  80,  982
AL, 93, 2014073012, 03, GFDN, 108, 220N,  677W,  80,  981
AL, 93, 2014073012, 03, GFDN, 114, 229N,  688W,  80,  980
AL, 93, 2014073012, 03, GFDN, 120, 236N,  699W,  79,  980
AL, 93, 2014073012, 03, GFDN, 126, 245N,  708W,  85,  976
AL, 93, 2014073012, 03, NG01, 090, 170N,  649W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG01, 096, 177N,  667W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 090, 194N,  626W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 096, 201N,  632W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 102, 205N,  642W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 108, 209N,  651W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 114, 211N,  662W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 120, 211N,  678W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 126, 214N,  690W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 132, 216N,  705W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 138, 219N,  717W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 144, 220N,  735W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 150, 221N,  750W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 156, 223N,  764W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 162, 227N,  776W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 168, 229N,  790W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 174, 232N,  801W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG03, 180, 236N,  809W,   0, 1009, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 090, 169N,  609W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 096, 174N,  620W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 102, 178N,  630W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 108, 185N,  640W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 114, 182N,  654W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 120, 188N,  665W,   0, 1015, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 126, 187N,  680W,   0, 1016, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG05, 132, 186N,  691W,   0, 1014, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 090, 163N,  634W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 096, 168N,  650W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 102, 170N,  663W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 108, 173N,  678W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 114, 178N,  696W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 120, 182N,  716W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 126, 187N,  726W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 132, 190N,  744W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 138, 191N,  759W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 144, 196N,  771W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 150, 201N,  781W,   0, 1013, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 156, 209N,  790W,   0, 1012, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 162, 217N,  798W,   0, 1011, XX,  34, NEQ, 0000, 0000, 0000, 0000
AL, 93, 2014073012, 03, NG06, 168, 223N,  808W,   0, 1010, XX,  34, NEQ, 0000, 0000, 0000, 0000
